timestamp,open,high,low,close,volume
2023-11-14 19:59:00,150.7100,150.9000,150.7100,150.9000,272
2023-11-14 19:58:00,150.8600,150.8700,150.8600,150.8700,50
2023-11-14 19:56:00,150.8700,150.8700,150.8700,150.8700,3
2023-11-14 19:54:00,150.8600,150.8600,150.8600,150.8600,3
2023-11-14 19:50:00,150.7500,150.7500,150.6900,150.6900,15
2023-11-14 19:48:00,150.8500,150.8500,150.8500,150.8500,1
2023-11-14 19:46:00,150.8700,150.8700,150.8700,150.8700,3
2023-11-14 19:44:00,150.8500,150.8700,150.8500,150.8700,2
2023-11-14 19:43:00,150.8500,150.8500,150.8500,150.8500,20
2023-11-14 19:36:00,150.8700,150.8700,150.8700,150.8700,200
2023-11-14 19:35:00,150.8700,150.8700,150.8700,150.8700,5
2023-11-14 19:29:00,150.4100,150.4100,150.4100,150.4100,1
2023-11-14 19:28:00,150.7500,150.7500,150.7500,150.7500,6
2023-11-14 19:25:00,150.7400,150.7500,150.7400,150.7500,200
2023-11-14 19:23:00,150.5600,150.5600,150.5600,150.5600,10
2023-11-14 19:21:00,150.5200,150.5200,150.5200,150.5200,1
2023-11-14 19:20:00,150.7500,150.7500,150.7500,150.7500,2
2023-11-14 19:18:00,150.7400,150.7400,150.7400,150.7400,50
2023-11-14 19:17:00,150.7500,150.7500,150.7500,150.7500,203
2023-11-14 19:13:00,150.7500,150.7500,150.7500,150.7500,8
2023-11-14 19:08:00,150.8200,150.8200,150.8200,150.8200,100
2023-11-14 19:01:00,150.8700,150.8700,150.8700,150.8700,50
2023-11-14 19:00:00,150.4100,150.4100,150.4100,150.4100,573072
2023-11-14 18:59:00,150.8700,150.8700,150.8700,150.8700,50
2023-11-14 18:53:00,150.7900,150.8300,150.7900,150.8300,100
2023-11-14 18:52:00,150.7000,150.7000,150.7000,150.7000,1
2023-11-14 18:49:00,150.7000,150.8000,150.5500,150.8000,302
2023-11-14 18:43:00,150.8700,150.8700,150.8700,150.8700,2
2023-11-14 18:41:00,150.5000,150.5000,150.5000,150.5000,5
2023-11-14 18:40:00,150.8700,150.8700,150.8650,150.8650,20
2023-11-14 18:38:00,150.8690,150.8700,150.8690,150.8700,106
2023-11-14 18:31:00,150.8000,150.8000,150.8000,150.8000,5
2023-11-14 18:30:00,150.4100,150.4100,150.4100,150.4100,573072
2023-11-14 18:27:00,150.8700,150.8700,150.8700,150.8700,1
2023-11-14 18:25:00,150.8000,150.8000,150.8000,150.8000,210
2023-11-14 18:23:00,150.8000,150.8000,150.8000,150.8000,2
